,Unidades,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,DSS A,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro,ArroyoElZorro
,DSS B,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W5,W6,W7,W8,W9
,DSS C,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC,PRECIP-INC
Fecha DSS,DSS F,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060,P_TR2.33_6H_FSCALIF060
01Jan04,06:00,0.63067,0.65329,0.63128,0.66365,0.63682,0.64766,0.63311,0.66378,0.66486,0.64620,0.63941,0.64321,0.63416,0.65429,0.63242,0.64760,0.62823,0.64646,0.65898,0.62075,0.64497,0.64741,0.66695,0.63504,0.66113,0.62259,0.64923,0.65425,0.61618,0.63211,0.64757,0.63383,0.65962,0.62812,0.63169,0.62863,0.63938,0.66727,0.63446
01Jan04,06:15,16.42309,17.01215,16.43906,17.28204,16.58320,16.86554,16.48669,17.28534,17.31358,16.82746,16.65064,16.74955,16.51405,17.03831,16.46860,16.86387,16.35971,16.83427,17.16027,16.16484,16.79544,16.85894,17.36785,16.53699,17.21645,16.21260,16.90646,17.03719,16.04587,16.46056,16.86331,16.50544,17.17712,16.35683,16.44980,16.36987,16.65000,17.37631,16.52191
01Jan04,06:30,15.61991,16.18016,15.63509,16.43685,15.77219,16.04072,15.68039,16.43999,16.46684,16.00451,15.83633,15.93041,15.70642,16.20504,15.66319,16.03913,15.55963,16.01098,16.32104,15.37428,15.97405,16.03444,16.51847,15.72823,16.37446,15.41972,16.07964,16.20397,15.26113,15.65554,16.03860,15.69823,16.33706,15.55688,15.64531,15.56929,15.83572,16.52651,15.71389
01Jan04,06:45,12.57452,13.02554,12.58674,13.23218,12.69711,12.91329,12.62321,13.23471,13.25633,12.88413,12.74874,12.82448,12.64416,13.04556,12.60936,12.91201,12.52599,12.88934,13.13895,12.37678,12.85961,12.90823,13.29789,12.66172,13.18196,12.41336,12.94462,13.04471,12.28569,12.60320,12.91158,12.63757,13.15185,12.52378,12.59497,12.53377,12.74825,13.30436,12.65018
01Jan04,07:00,11.29742,11.70263,11.30840,11.88829,11.40756,11.60178,11.34117,11.89056,11.90998,11.57559,11.45395,11.52199,11.35999,11.72062,11.32872,11.60063,11.25382,11.58027,11.80453,11.11976,11.55356,11.59724,11.94732,11.37577,11.84317,11.15262,11.62993,11.71985,11.03793,11.32319,11.60024,11.35407,11.81611,11.25183,11.31579,11.26081,11.45351,11.95314,11.36539
01Jan04,07:15,9.94173,10.29832,9.95139,10.46169,10.03865,10.20957,9.98023,10.46369,10.48078,10.18652,10.07947,10.13935,9.99679,10.31415,9.96928,10.20856,9.90336,10.19064,10.38798,9.78539,10.16713,10.20557,10.51364,10.01068,10.42199,9.81431,10.23434,10.31347,9.71337,9.96441,10.20821,9.99158,10.39818,9.90161,9.95790,9.90951,10.07909,10.51876,10.00155
